Vaccinium macrocarpon
Rubus allegheniensis
Aronia melanocarpa
Staphylea trifolia
Vaccinium corymbosum
Cephalanthus occidentalis
Sambucus canadensis
"Spiraea alba  var. latifolia
(syn.Spiraea latifolia)"
Kalmia latifolia
Rosa carolina
Asimina triloba
Rosa setigera
Aronia arbutifolia
Lindera benzoin
Chimaphila maculata
Euonymus americanus
Spiraea tomentosa
Rosa palustris
Epigaea repens
Campsis radicans
Lonicera sempervirens
Clematis virginiana

Frasera caroliniensis  (syn. Swertia)
Panax quinquefolius
"Symphyotrichum sagittifolium
(syn. Aster)"
Helianthus mollis
Gaura biennis
Rudbeckia hirta
Liatris spicata
Sanguinaria canadensis
Caulophyllum thalictroides
Verbena hastata
Sisryinchium angustifolium
Collinsia verna
Solidago caesia
Houstonia caerulea
Eupatorium perfoliatum
Gentiana andrewsii
Sicyos angulatus
Asclepias tuberosa
Symphyotrichum lateriflorum  (syn. Aster)
Anemone canadensis
Teucrium canadense
Solidago canadensis
Lilium canadense
Sanguisorba canadensis
Lobelia cardinalis
Stylophorum diphyllum
Physalis heterophylla
Viola sororia
Typha latifolia
Sagittaria latifolia
Potentilla simplex
Oenothera biennis
Asclepias syriaca
Hellenium autumnale
Silphium laciniatum
Iris cristata
"Symphyotrichum prenanthoides
(syn. Aster)"
Veronicastrum virginicum
Silphium perfoliatum
Cardamine concatenata
Aureolaria virginica
Lobelia puberula
Blephilia ciliata
Viola pubescens
Delphinium tricorne
Trillium flexipes
Dicentra cucullaria
Iris verna
Thalictrum dioicum
Opuntia humifusa
Circaea lutetiana
"Enemion biternatum
(syn. Isopyrum)"
Polystichum acrostichoides
Osmundastrum cinnamomea
Athyrium felix-femina
Dryopteris marginalis
Matteucia struthiopteris
Onocleya sensibilis
Cirsium discolor
Silene virginica
Chamerion augustifolium  (syn. Epilobium)
Euthamia graminifolia
Euphorbia corollata
Tiarella cordifolia
Penstemon digitalis
Nymphaea odorata
Gentianopsis crinita
Polygala paucifolia
Phlox paniculata
Arunus dioicus
Zizia aurea
Packera aureus    (syn. Senecio)
Hydrastis canadensis
Solidago nemoralis
Ratibida pinnata
Lobelia siphilitica
Arisaema dracontium
Rudbeckia laciniata
Penstemon hirsutus
Lithospermum caroliniense
Erigenia bulbosa
Symphyotrichum cordifolius   (syn. Aster)
Symphyotrichum pilosum     (syn. Aster)
Calystegia sepium
Ranunculus hispidus
Desmodium canescens
Solanum carolinense
Medeola virginiana
Apocynum cannabinum
Monotropa uniflora
Lobelia inflata
Arisaema triphyllum
Polemonium reptans
Helianthus tuberosus
Eutrochium fistulosum    (syn. Eupatorium)
Lobelia kalmii
Ranunculus abortivus
Tetraneuris herbacea
Liparis liliifolia
Uvularia grandiflora
Trillium grandiflorum
Hydrophyllum macrophyllum
Saururus cernuus
Phryma leptostachya
Caltha palustris
Podophyllum peltatum
Phacelia purshii
Lilium michiganense
Conoclinium coelestinum  (syn. Eupatorium )
Mitella diphylla
Pycnanthemum tenuifolium
"Symphyotrichum novae-angliae
(syn. Aster)"
Spiranthes cernua
Allium cernuum
Iris versicolor
Aconitum noveboracense
Physostegia virginiana
Tradescantia ohiensis
Monarda didyma
Heliopsis helianthoides
Impatiens pallida
Chamaecrista fasciculata      (syn. Cassia)
Mitchella repens
Erigeron philadelphicus
Pontederia cordata
Cypripedium acaule
Sarracenia purpurea
Phytolacca americana
Silphium terebinthinaceum
Monarda media
Echinacea purpurea
Cardamine douglassii
Polygala sanguinea
Antennaria neglecta
Aplectrum hyemale
Filipendula rubra
Hieracium venosum
Eryngium yuccifolium
Trillium erectum
Sabatia angularis
Drosera rotundifolia
Silene regia
Anemonella thalictroides
Trillium sessile
Hepatica acutiloba
Mimulus alatus
Dodecatheon meadia
Cypripedium reginae
Galearis spectabilis  (syn. Orchis)
Scutellaria serrata
Symplocarpus foetidus
Spiranthes lacera
Polymnia canadensis
Ruellia strepens
Trillium nivale
Smilacina racemosa
Polygonatum biflorum
Lobelia spicata
Impatiens capensis
Claytonia virginica
Cardamine rhomboidea
Conopholis americana
Dicentra canadensis
Stellaria pubera
Gentianella quinquefolia
Oligoneuron rigidum
Viola striata
Asclepias incarnata
Hibiscus moscheutos
Osmorhiza longistylis
Campanula americana
Coreopsis tripteris
Vernonia gigantea
Thalictrum pubescens
Eupatorium altissimum
Anemone virginiana
Rudbeckia triloba
Bidens coronata
Chelone glabra
Jeffersonia diphylla
Krigia biflora
Triodanis perfoliata
Mertensia virginica
Cicuta maculata
Geum canadense
Actaea alba
Ageratina altissima  (syn. Eupatorium rugosum)
Erythronium albidum
Baptisia alba
Lysimachia quadrifolia
Asclepias verticillata
Silphium trifoliatum
Monarda fistulosa
Phlox divaricata
Aquilegia canadensis
Mirabilis nyctaginea
Allium canadense
Geranium maculatum
Asarum canadense
Camassia scilloides
Allium tricoccum
Lupinus perennis
Ipomoea pandurata
Parthenium integrifolium
Sedum ternatum
Fragaria virginiana
Verbesina alternifolia
Laportea canadensis
Pedicularis canadensis
Helianthus divaricatus
Corydalis flavula
Cypripedium calceolus
Taenidia integerrima
Erythronium americanum
Oxalis stricta
Solidago flexicaulis
